,tfidf,Japanese,English,POS
고려,0.3583133135037323,考慮,Consideration,['Noun']
세율,0.2991603725486412,関税,tariff,['Noun']
주택,0.297861543455624,ハウジング,Housing,['Noun']
검토정부,0.1791566567518661,レビュアー,Reviewer,"['Noun', 'Noun']"
아닌,0.1791566567518661,いいえ,not,['Adjective']
단일화,0.1791566567518661,統一,Unification,"['Modifier', 'Noun']"
여소야대,0.1791566567518661,ヨシュヤ,Yeosuya,"['Modifier', 'Noun', 'Suffix']"
광주시,0.1791566567518661,グワンジュ,Gwangju,['Noun']
과세기준,0.1791566567518661,課税,Taxation,"['Noun', 'Noun']"
경기,0.1791566567518661,ゲーム,game,['Noun']
다주택,0.1791566567518661,マルチハウス,Multi -house,"['Adverb', 'Noun']"
남한,0.1618555306188156,韓国,south korea,['Noun']
모습,0.1618555306188156,形,figure,['Noun']
가격으로,0.1618555306188156,価格で,At price,"['Noun', 'Josa']"
폐지,0.1618555306188156,廃止,abolition,['Noun']
아파트,0.1618555306188156,アパート,Apartment,['Noun']
산성에서,0.1618555306188156,酸性,In acidic,"['Noun', 'Josa']"
바라본,0.1618555306188156,意見,View,['Verb']
단지,0.1618555306188156,ただ,just,['Noun']
14일,0.1618555306188156,14日間,14 days,['Number']
단계적,0.1618555306188156,ステップ-by -step,Step -by -step,"['Noun', 'Suffix']"
부동,0.1495801862743206,不動,immobility,['Noun']
뉴스,0.1495801862743206,ニュース,news,['Noun']
낮추는,0.1495801862743206,低下,Lowering,['Verb']
산세,0.1495801862743206,sanning,Sanning,['Noun']
서울,0.1495801862743206,ソウル,Seoul,['Noun']
종합,0.140058689479992,合成,Synthesis,['Noun']
정부가,0.13227906014127,政府,Government,"['Noun', 'Josa']"
방안도,0.1257014772571827,部屋の図,Room diagram,"['Noun', 'Josa']"
부세,0.0992871811518746,税,Tax,['Noun']
이미,0.0,すでに,already,['Adverb']
이른바,0.0,SO -CALLED,So -called,['Adverb']
이동해,0.0,動く,Move,['Noun']
의석을,0.0,座席,The seat,"['Noun', 'Josa']"
이날,0.0,この日,On this day,"['Determiner', 'Noun']"
이상,0.0,より多い,More than,['Noun']
이에,0.0,したがって,Therefore,"['Noun', 'Josa']"
재정부는,0.0,財務省,The Ministry of Finance,"['Noun', 'Josa']"
인상한다,0.0,向上,Improve,"['Noun', 'Josa', 'Adverb']"
유지하되,0.0,それを保管してください,Keep it,"['Noun', 'Suffix', 'Verb']"
유예해,0.0,延期,Deferment,"['Noun', 'Verb']"
적용,0.0,申し込み,apply,['Noun']
위해서,0.0,為に,for,"['Noun', 'Josa']"
위한,0.0,為に,for,"['Noun', 'Josa']"
웹의,0.0,ウェブ,Web,"['Noun', 'Josa']"
적용되는,0.0,該当する,Applicable,"['Noun', 'Verb']"
원짜리,0.0,WON -RI,Won -ri,"['Noun', 'Verb']"
원점으로,0.0,元は,Originally,"['Noun', 'Josa']"
원이었는데,0.0,それは円でした,It was a circle,"['Noun', 'Verb']"
적용하는,0.0,適用,Applied,"['Noun', 'Verb']"
원이,0.0,サークル,Circle,"['Noun', 'Josa']"
이와,0.0,私と,I and,"['Noun', 'Josa']"
인하도,0.0,インハド,Inhado,['Adjective']
인터,0.0,インター,Inter,['Noun']
저축과,0.0,節約と,Savings and,"['Noun', 'Josa']"
재배포,0.0,再配布,Redistribution,"['Noun', 'Noun']"
재정부에,0.0,財務省へ,To the Ministry of Finance,"['Noun', 'Josa']"
